couple_1,couple_2,sum_paper
110895154,112067453,19
110895154,60027709,7
110895154,109974865,3
110895154,60069377,1598
110895154,60021944,34
110895154,122930424,2
110895154,60105015,2
110895154,60109077,6
110895154,118736414,8
110895154,118495196,18
110895154,60111846,2
110895154,119205554,12
110895154,60107865,12
110895154,113185784,5
110895154,103398586,1
110895154,114292120,49
110895154,123304129,16
110895154,122253065,1
110895154,113730915,27
110895154,60103610,72
110895154,60113340,1
110895154,112837444,17
110895154,122246043,6
110895154,115807387,54
110895154,122507729,1
110895154,60069411,2
110895154,123349703,1
110895154,104757287,26
110895154,121035669,6
110895154,122423939,1
110895154,120017344,1
110895154,120049336,3
110895154,108173563,12
110895154,121800748,2
110895154,118334675,4
110895154,121800542,4
110895154,121801872,1
110895154,115030660,4
110895154,122276664,12
110895154,118365648,20
110895154,114929020,2
110895154,122528432,11
110895154,60108869,79
110895154,60069382,12
110895154,112304895,1
110895154,120790202,1
110895154,121970579,5
110895154,123004553,3
110895154,60069397,4
110895154,120729067,5
110895154,110489126,8
110895154,120995963,1
110895154,120994895,1
110895154,60069400,1
110895154,117780162,1
110895154,121447971,2
110895154,119094094,2
110895154,114777814,2
110895154,113397046,3
110895154,115604549,3
110895154,118449433,4
110895154,120050723,1
110895154,121766130,2
110895154,116113090,2
110895154,60110258,3
110895154,111296405,1
110895154,104757720,4
110895154,114079087,2
110895154,113176951,2
110895154,103625259,1
110895154,113845589,6
110895154,60069412,2
110895154,115032348,3
110895154,60103730,5
110895154,113062885,1
110895154,60017161,16
110895154,100248703,3
110895154,60011226,12
110895154,113922700,37
110895154,112270602,36
110895154,103051948,36
110895154,103051699,7
110895154,60007989,2
110895154,60011476,2
110895154,103441118,1
110895154,105458996,1
110895154,60018306,17
110895154,114748149,47
110895154,114186060,14
110895154,113868064,1
110895154,112824287,1
110895154,107857354,1
110895154,113659408,2
110895154,122698746,5
110895154,104100909,6
110895154,60021508,4
110895154,104100824,2
110895154,60009358,1
110895154,60003038,5
110895154,60028442,2
110895154,100261271,5
110895154,104476028,2
110895154,103496990,1
110895154,113854098,2
110895154,104476024,2
110895154,60004505,2
110895154,60019778,1
110895154,60000762,1
110895154,60030168,1
110895154,60013881,1
110895154,60015481,1
110895154,60033011,10
110895154,104676705,5
110895154,60013609,21
110895154,60024997,4
110895154,60022134,2
110895154,120246201,1
110895154,103097537,1
110895154,103268808,1
110895154,120368546,2
110895154,60082102,2
110895154,60020760,4
110895154,104475822,1
110895154,114027201,1
110895154,107969001,1
110895154,114337572,1
110895154,113774541,1
110895154,122404310,1
110895154,103936965,4
110895154,112247832,1
110895154,103441304,1
110895154,113611320,1
110895154,119235936,4
110895154,60076757,3
110895154,60018353,4
110895154,108558087,4
110895154,112125972,2
110895154,110181669,4
110895154,123347777,1
110895154,60011604,2
110895154,119804192,1
110895154,60072186,2
110895154,116665254,5
110895154,60026553,8
110895154,123209774,1
110895154,120021708,2
110895154,119523243,1
110895154,104757763,7
110895154,115458107,3
110895154,103597531,8
110895154,60014256,5
110895154,114046242,2
110895154,121841273,17
110895154,113902597,4
110895154,116696974,2
110895154,112965775,6
110895154,113835661,2
110895154,110264360,2
110895154,113905066,17
110895154,113870693,20
110895154,118325631,9
110895154,113121345,13
110895154,104757253,9
110895154,116582593,10
110895154,60069378,25
110895154,118714546,1
110895154,111197494,12
110895154,114673009,3
110895154,122983881,3
110895154,112136414,5
110895154,123079305,11
110895154,108253171,2
110895154,122540792,3
110895154,103330213,14
110895154,60070441,36
110895154,60069385,5
110895154,118787672,8
110895154,60069394,15
110895154,106947787,2
110895154,121244510,1
110895154,60087598,4
110895154,122461491,3
110895154,105843273,5
110895154,119050004,5
110895154,118146086,1
110895154,111045551,1
110895154,103690177,4
110895154,113869978,2
110895154,100336132,2
110895154,104757263,23
110895154,60070707,1
110895154,113565376,2
110895154,104757365,4
110895154,120798584,28
110895154,112657314,1
110895154,112627945,18
110895154,60013052,2
110895154,114249453,2
110895154,60025655,1
110895154,60020599,2
110895154,60032882,2
110895154,60008408,39
110895154,121703489,4
110895154,104757408,9
110895154,112605579,35
110895154,104757652,6
110895154,100274994,3
110895154,112681850,1
110895154,117872281,7
110895154,100840220,14
110895154,106597813,18
110895154,60026810,1
110895154,60003161,1
110895154,103212300,3
110895154,60028868,9
110895154,105216101,4
110895154,115534586,3
110895154,60110404,2
110895154,60107956,2
110895154,60107900,2
110895154,121694240,1
110895154,111335865,1
110895154,120851670,1
110895154,112988891,1
110895154,108208968,5
110895154,60072181,1
110895154,117018344,4
110895154,121970638,1
110895154,60031126,10
110895154,104757281,1
110895154,60069407,32
110895154,108778323,1
110895154,113905063,7
110895154,114423201,1
110895154,121985781,1
110895154,118429759,1
110895154,120994536,1
110895154,113606204,1
110895154,manual,2
110895154,104608856,58
110895154,121494766,9
110895154,104757294,3
110895154,118267876,20
110895154,60033010,7
110895154,114616110,10
110895154,60025272,17
110895154,104572869,1
110895154,104572845,1
110895154,118498565,2
110895154,60026532,6
110895154,113504507,3
110895154,60118933,3
110895154,60024324,3
110895154,113909540,2
110895154,106617750,1
110895154,108213006,1
110895154,60099840,1
110895154,60022195,1
110895154,113860336,2
110895154,60021293,1
110895154,60027272,4
110895154,104757713,3
110895154,123296381,1
110895154,120552312,1
110895154,60106860,6
110895154,121236516,1
110895154,121452888,3
110895154,121451942,1
110895154,107784073,1
110895154,104758239,12
110895154,119166701,10
110895154,120668492,11
110895154,113323340,6
110895154,106435640,4
110895154,118339938,2
110895154,113471683,2
110895154,118668751,9
110895154,118261807,3
110895154,121032242,3
110895154,118186130,6
110895154,60121697,6
110895154,120901339,2
110895154,123372835,13
110895154,60106037,4
110895154,100458054,5
110895154,123224651,3
110895154,60104399,2
110895154,122434007,3
110895154,60032530,1
110895154,60008950,5
110895154,60102083,5
110895154,103995381,1
110895154,107909290,1
110895154,121896413,4
110895154,104758235,6
110895154,118335921,4
110895154,103636925,1
110895154,116379651,1
110895154,60025017,16
110895154,60002014,5
110895154,122540858,1
110895154,121033243,4
110895154,60011362,15
110895154,60014313,3
110895154,108180714,1
110895154,123143883,9
110895154,114959872,9
110895154,60030788,4
110895154,112469371,4
110895154,115256099,7
110895154,114176633,2
110895154,123417163,1
110895154,60105733,3
110895154,121371594,2
110895154,118365643,6
110895154,117868694,2
110895154,122808827,1
110895154,60105231,16
110895154,60031706,1
110895154,108608839,1
110895154,112795679,2
110895154,103566786,1
110895154,103520814,1
110895154,108613238,1
110895154,113004046,1
110895154,60005809,5
110895154,122818049,4
110895154,123076911,1
110895154,118584111,3
110895154,123078119,5
110895154,100655206,1
110895154,104580806,1
110895154,123412936,1
110895154,104211192,2
110895154,60010325,1
110895154,121516187,1
110895154,122273309,6
110895154,60031004,2
110895154,60011019,2
110895154,123297803,3
110895154,111157152,1
110895154,108448369,2
110895154,118594380,3
110895154,112729833,1
110895154,103608659,4
110895154,120049198,1
110895154,103939784,1
110895154,60019578,3
110895154,60024751,8
110895154,113565783,2
110895154,60013141,3
110895154,103690824,3
110895154,112450056,1
110895154,103060925,1
110895154,122133290,3
110895154,113529656,2
110895154,60069415,1
110895154,109524105,2
110895154,120498330,2
110895154,113835662,2
110895154,121884523,1
110895154,60105082,25
110895154,60019702,10
110895154,60103907,2
110895154,104581980,1
110895154,104260943,6
110895154,60104653,1
110895154,60071354,1
110895154,60031214,1
110895154,112250893,6
110895154,104416009,4
110895154,60032325,4
110895154,60087584,7
110895154,112693276,1
110895154,114165345,1
110895154,60027031,1
110895154,60008134,1
110895154,60106208,1
110895154,109138629,1
110895154,60031101,1
110895154,100805340,1
110895154,119050053,14
110895154,60005745,3
110895154,60069391,9
110895154,123060844,2
110895154,123384514,2
110895154,104757401,3
110895154,60106585,1
110895154,122136347,1
110895154,60016775,2
110895154,60117888,2
110895154,121790813,2
110895154,113962845,2
110895154,110595146,8
110895154,122397156,3
110895154,117080912,3
110895154,116079411,3
110895154,115157111,2
110895154,60102127,1
110895154,60118847,1
110895154,114942382,1
110895154,113035762,2
110895154,60016605,1
110895154,121771747,1
110895154,104599286,2
110895154,112605630,2
110895154,114565762,3
110895154,122252530,1
110895154,60083112,1
110895154,60026415,4
110895154,114013063,1
110895154,60106643,1
110895154,121021202,1
110895154,117253176,1
110895154,120805212,3
110895154,116379622,2
110895154,104462219,3
110895154,103828369,1
110895154,60016005,1
110895154,117990590,3
110895154,113362180,3
110895154,109696702,1
110895154,60105182,12
110895154,122315621,1
110895154,116983942,2
110895154,114077795,1
110895154,110879379,1
110895154,114537592,1
110895154,104757672,1
110895154,104757286,2
110895154,104757323,1
110895154,109652170,1
110895154,102969616,2
110895154,60111309,12
110895154,60105171,3
110895154,101652714,1
110895154,119519325,1
110895154,104012624,1
110895154,112661329,1
110895154,103209556,1
110895154,101550304,2
110895154,122754820,2
110895154,112067452,1
110895154,113905154,1
110895154,104757299,1
110895154,60004969,1
110895154,116114142,2
110895154,113882551,1
110895154,113108788,1
110895154,123092846,1
110895154,113765561,3
110895154,110177592,1
110895154,104757270,1
110895154,116606676,2
110895154,123142415,2
110895154,60109118,1
110895154,60109309,1
110895154,117274264,1
110895154,117561000,1
110895154,116430874,2
110895154,112457975,6
110895154,108239964,1
110895154,104590716,1
110895154,122276747,2
110895154,112830802,2
110895154,100272197,2
110895154,60069406,1
110895154,118264048,1
110895154,104757410,4
110895154,60111719,1
110895154,115165486,2
110895154,121099307,1
110895154,104872797,2
110895154,60110633,1
110895154,121841251,1
110895154,112703761,1
110895154,113374308,1
110895154,60109646,1
110895154,115360056,1
112067453,60069377,8
112067453,60069394,1
112067453,60087598,1
112067453,123078119,1
112067453,120805212,3
60027709,109974865,1
60069377,60021944,9
60069377,60109077,1
60069377,118736414,5
60069377,118495196,11
60069377,60111846,2
60069377,119205554,4
60069377,114292120,3
60069377,60103610,3
60069377,112837444,1
60069377,122246043,4
60069377,115807387,9
60069377,122507729,1
60069377,60069411,1
60069377,123349703,1
60069377,104757287,2
60069377,121035669,2
60069377,108173563,5
60069377,118365648,1
60069377,122528432,7
60069377,60108869,28
60069377,121970579,4
60069377,123004553,1
60069377,60069397,2
60069377,110489126,2
60069377,118449433,3
60069377,120050723,2
60069377,60110258,1
60069377,114079087,1
60069377,113845589,2
60069377,113062885,1
60069377,60011226,4
60069377,113922700,10
60069377,112270602,20
60069377,103051948,20
60069377,116665254,1
60069377,60026553,2
60069377,121841273,3
60069377,113905066,11
60069377,113870693,9
60069377,118325631,4
60069377,113121345,8
60069377,104757253,2
60069377,116582593,1
60069377,60069378,25
60069377,111197494,6
60069377,123079305,3
60069377,108253171,2
60069377,103330213,1
60069377,60070441,1
60069377,60069385,1
60069377,118787672,4
60069377,60069394,1
60069377,60087598,4
60069377,118146086,1
60069377,111045551,1
60069377,120798584,1
60069377,112627945,3
60069377,60008408,6
60069377,104757408,6
60069377,112605579,12
60069377,104757652,7
60069377,100274994,4
60069377,117872281,2
60069377,117018344,5
60069377,121970638,1
60069377,60031126,2
60069377,104757281,1
60069377,60069407,5
60069377,104608856,17
60069377,121494766,1
60069377,118267876,6
60069377,60033010,3
60069377,114616110,7
60069377,60025272,5
60069377,104757713,2
60069377,123296381,2
60069377,120552312,3
60069377,60106860,6
60069377,121236516,2
60069377,107784073,1
60069377,119166701,4
60069377,120668492,2
60069377,113323340,2
60069377,106435640,1
60069377,118339938,1
60069377,113471683,1
60069377,118668751,2
60069377,60106037,1
60069377,100458054,1
60069377,123224651,1
60069377,60032530,1
60069377,60025017,2
60069377,60011362,2
60069377,113461843,7
60069377,60000256,10
60069377,113210625,2
60069377,118438301,2
60069377,60009914,4
60069377,123143883,3
60069377,60030788,2
60069377,112469371,2
60069377,123417163,1
60069377,60105733,1
60069377,118365643,6
60069377,117868694,2
60069377,60105231,2
60069377,123078119,2
60069377,123297803,2
60069377,113529656,1
60069377,60105082,3
60069377,60019702,4
60069377,104260943,1
60069377,60087584,5
60069377,119050053,2
60069377,104757401,4
60069377,60016775,2
60069377,121790813,3
60069377,117080912,1
60069377,113035762,1
60069377,60016605,1
60069377,120805212,6
60069377,117990590,1
60069377,60105182,10
60069377,122315621,1
60069377,114077795,1
60069377,110879379,1
60069377,114537592,1
60069377,60111309,12
60069377,101550304,2
60069377,122754820,2
60069377,104757299,1
60069377,60004969,4
60069377,116114142,2
60069377,113882551,2
60069377,113108788,2
60069377,113765561,2
60069377,110177592,1
60069377,104757270,4
60069377,60111719,1
60069377,60110633,1
60021944,113185784,5
60021944,103398586,1
60021944,114292120,6
60021944,115807387,2
60021944,121800542,2
60021944,115030660,2
60021944,60108869,2
60021944,110489126,1
60021944,119094094,2
60021944,121766130,2
60021944,116113090,2
60021944,111296405,1
60021944,113176951,2
60021944,103625259,1
122930424,60105015,2
60109077,118495196,1
60109077,121447971,2
118736414,119205554,1
118495196,60111846,1
118495196,122246043,1
118495196,110489126,1
118495196,115604549,1
60107865,122423939,2
60107865,120017344,2
60107865,120049336,5
60107865,60069382,1
60107865,112304895,1
60107865,120790202,1
60107865,60069397,1
113185784,103398586,1
113185784,119094094,2
113185784,121766130,2
113185784,116113090,2
113185784,111296405,1
114292120,123304129,17
114292120,122253065,1
114292120,113730915,6
114292120,60103610,16
114292120,60113340,1
114292120,121800748,2
114292120,121800542,5
114292120,121801872,1
114292120,115030660,2
114292120,120995963,1
114292120,120994895,1
114292120,60069400,1
114292120,117780162,1
114292120,113397046,6
114292120,60110258,1
114292120,113905063,3
114292120,114423201,1
114292120,121985781,2
114292120,118429759,2
114292120,60105733,1
114292120,116079411,1
123304129,122253065,1
123304129,113730915,6
123304129,60103610,12
123304129,60113340,1
123304129,121800748,1
123304129,121801872,1
123304129,120995963,1
123304129,120994895,1
123304129,60069400,1
123304129,117780162,1
123304129,113905063,1
123304129,113606204,1
113730915,60103610,10
113730915,121800748,1
113730915,120995963,1
113730915,113905063,2
113730915,114423201,1
113730915,113606204,1
60103610,60113340,1
60103610,115807387,1
60103610,121800748,1
60103610,121801872,1
60103610,120994895,2
60103610,60069400,2
60103610,117780162,2
60103610,60069378,1
60103610,103330213,4
60103610,105843273,2
60103610,119050004,1
60103610,60070707,1
60103610,113905063,13
60103610,114423201,1
60103610,121985781,1
60103610,118429759,1
60103610,120994536,3
60103610,113606204,2
60103610,60025272,1
60103610,60105733,2
60103610,122273309,1
60103610,60105082,1
60103610,119050053,1
60103610,116079411,2
112837444,60108869,2
112837444,113845589,1
112837444,122461491,1
115807387,60108869,3
115807387,104757720,2
115807387,113845589,1
115807387,113905066,1
115807387,113870693,1
115807387,118325631,1
115807387,60069378,2
115807387,103330213,2
115807387,105843273,1
115807387,118146086,1
115807387,111045551,1
115807387,104757263,4
115807387,60008408,1
115807387,121703489,4
115807387,112605579,1
115807387,60025272,2
115807387,60087584,1
115807387,119050053,1
115807387,60069391,1
115807387,101550304,2
115807387,122754820,2
122507729,60069411,1
